date,value
2015-01-01,187.80588357034512
2015-02-01,223.02496024624088
2015-03-01,242.63045650119713
2015-04-01,260.65409415056274
2015-05-01,276.3122502467813
2015-06-01,248.63232425636102
2015-07-01,223.1523923380367
2015-08-01,189.25242775016605
2015-09-01,165.6210388317021
2015-10-01,181.00325370432557
2015-11-01,198.44518303786495
2015-12-01,248.3274593419961
2016-01-01,253.01794760932734
2016-02-01,295.0602416015161
2016-03-01,295.386304296241
2016-04-01,296.05563073778717
2016-05-01,296.9096251387151
2016-06-01,286.4620345638786
2016-07-01,308.5227906673785
2016-08-01,243.5302636414215
2016-09-01,254.3824508455466
2016-10-01,225.81779445635416
2016-11-01,264.2893462804875
2016-12-01,278.64660491711976
2017-01-01,299.77809110959674
2017-02-01,330.7715408313727
2017-03-01,344.1177526301215
2017-04-01,371.58470004350784
2017-05-01,355.62545415432305
2017-06-01,330.0201688626402
2017-07-01,308.4905108532909
2017-08-01,309.5037123828531
2017-09-01,316.5553114228921
2017-10-01,292.8254061184952
2017-11-01,299.60000598295966
2017-12-01,328.22356230680407
2018-01-01,372.78151548730443
2018-02-01,385.73754603109614
2018-03-01,398.83948938629027
2018-04-01,432.551777459409
2018-05-01,419.9453827235929
2018-06-01,422.50442498632304
2018-07-01,381.4719208136478
2018-08-01,339.6116879284479
2018-09-01,323.41038437528465
2018-10-01,366.2532806855964
2018-11-01,378.29839647359125
2018-12-01,372.30721180076097
