date,value
2015-01-01,481.61095427996776
2015-02-01,552.760116289526
2015-03-01,577.7643498410678
2015-04-01,602.2604113067075
2015-05-01,572.0045850098272
2015-06-01,557.2553008637879
2015-07-01,529.413216330051
2015-08-01,473.5313790647502
2015-09-01,462.3886837159988
2015-10-01,432.1135938547233
2015-11-01,451.6259048504505
2015-12-01,483.3511576129911
2016-01-01,509.8860239896277
2016-02-01,586.3591679255709
2016-03-01,599.3306052170104
2016-04-01,622.5034035013143
2016-05-01,623.9673880160847
2016-06-01,596.8179474642608
2016-07-01,564.0119275315684
2016-08-01,511.55141707037495
2016-09-01,478.59002962537585
2016-10-01,477.56056535933686
2016-11-01,458.9431100039998
2016-12-01,495.84648294590437
2017-01-01,541.1516415557288
2017-02-01,590.477598659238
2017-03-01,650.516953456942
2017-04-01,637.9467569209678
2017-05-01,640.5920206585871
2017-06-01,647.6747068007918
2017-07-01,577.3817628322929
2017-08-01,562.0742550313137
2017-09-01,502.18645916746993
2017-10-01,508.84899532152065
2017-11-01,507.4921744863572
2017-12-01,551.8108877777634
2018-01-01,618.2146134533731
2018-02-01,609.678943648829
2018-03-01,685.012758694799
2018-04-01,694.613866976223
2018-05-01,670.0750895268474
2018-06-01,626.57180065871
2018-07-01,619.752449309207
2018-08-01,570.5369063821043
2018-09-01,559.31515389617
2018-10-01,547.1976062907506
2018-11-01,592.3310103123955
2018-12-01,587.6072536477226
2019-01-01,1014.7413177531964
2019-02-01,1081.6136817132106
2019-03-01,1114.5270364047255
2019-04-01,1150.8457233357947
2019-05-01,1132.4631304604832
2019-06-01,1096.4331958308776
2019-07-01,1081.3787338807294
2019-08-01,991.1543163783316
2019-09-01,975.6694159154894
2019-10-01,962.0318614535796
2019-11-01,986.3020533242704
2019-12-01,998.6634601474653
2020-01-01,1081.71710344333
2020-02-01,1107.3865319735173
2020-03-01,1114.5137937366453
2020-04-01,1137.1532071082436
2020-05-01,1155.8339993926043
2020-06-01,1139.8611229071835
2020-07-01,1125.850110791582
2020-08-01,1107.009643686344
2020-09-01,1030.5554521374124
2020-10-01,994.5754347824613
2020-11-01,985.260140674168
2020-12-01,1065.354229246877
